2024-06-09 22:09:44 upgrade wpasupplicant:armhf 2:2.4-1+deb9u1 2:2.6-21~bpo9~rpt1
2024-06-09 22:09:44 status half-configured wpasupplicant:armhf 2:2.4-1+deb9u1
2024-06-09 22:09:44 status unpacked wpasupplicant:armhf 2:2.4-1+deb9u1
2024-06-09 22:09:44 status half-installed wpasupplicant:armhf 2:2.4-1+deb9u1
2024-06-09 22:09:44 status triggers-pending dbus:armhf 1.10.26-0+deb9u1
2024-06-09 22:09:45 status triggers-pending dbus:armhf 1.10.26-0+deb9u1
2024-06-09 22:09:45 status half-installed wpasupplicant:armhf 2:2.4-1+deb9u1
2024-06-09 22:09:45 status unpacked wpasupplicant:armhf 2:2.6-21~bpo9~rpt1
2024-06-09 22:09:45 status unpacked wpasupplicant:armhf 2:2.6-21~bpo9~rpt1
2024-06-09 22:09:45 upgrade fake-hwclock:all 0.11 0.11+rpt1
2024-06-09 22:09:45 status half-configured fake-hwclock:all 0.11
2024-06-09 22:09:45 status unpacked fake-hwclock:all 0.11
2024-06-09 22:09:45 status half-installed fake-hwclock:all 0.11
2024-06-09 22:09:45 status half-installed fake-hwclock:all 0.11
2024-06-09 22:09:46 status unpacked fake-hwclock:all 0.11+rpt1
2024-06-09 22:09:46 status unpacked fake-hwclock:all 0.11+rpt1
2024-06-09 22:09:46 upgrade raspi-config:all 20180228 20190423
2024-06-09 22:09:46 status half-configured raspi-config:all 20180228
2024-06-09 22:09:46 status unpacked raspi-config:all 20180228
2024-06-09 22:09:46 status half-installed raspi-config:all 20180228
2024-06-09 22:09:46 status half-installed raspi-config:all 20180228
2024-06-09 22:09:47 status unpacked raspi-config:all 20190423
2024-06-09 22:09:47 status unpacked raspi-config:all 20190423
2024-06-09 22:09:47 startup packages configure
2024-06-09 22:09:47 configure firmware-realtek:all 1:20161130-3+rpt4 <none>
2024-06-09 22:09:47 status unpacked firmware-realtek:all 1:20161130-3+rpt4
2024-06-09 22:09:51 status half-configured firmware-realtek:all 1:20161130-3+rpt4
2024-06-09 22:09:51 status installed firmware-realtek:all 1:20161130-3+rpt4
2024-06-09 22:09:51 status triggers-pending initramfs-tools:all 0.130
2024-06-09 22:09:51 configure bluez-firmware:all 1.2-3+rpt7 <none>
2024-06-09 22:09:51 status unpacked bluez-firmware:all 1.2-3+rpt7
2024-06-09 22:09:51 status half-configured bluez-firmware:all 1.2-3+rpt7
2024-06-09 22:09:51 status installed bluez-firmware:all 1.2-3+rpt7
2024-06-09 22:09:51 configure raspberrypi-sys-mods:armhf 20181127 <none>
2024-06-09 22:09:51 status unpacked raspberrypi-sys-mods:armhf 20181127
2024-06-09 22:09:51 status unpacked raspberrypi-sys-mods:armhf 20181127
2024-06-09 22:09:51 status unpacked raspberrypi-sys-mods:armhf 20181127
2024-06-09 22:09:51 status unpacked raspberrypi-sys-mods:armhf 20181127
2024-06-09 22:09:51 status unpacked raspberrypi-sys-mods:armhf 20181127
2024-06-09 22:09:51 status unpacked raspberrypi-sys-mods:armhf 20181127
2024-06-09 22:09:51 status unpacked raspberrypi-sys-mods:armhf 20181127
2024-06-09 22:09:51 status unpacked raspberrypi-sys-mods:armhf 20181127
2024-06-09 22:09:51 status unpacked raspberrypi-sys-mods:armhf 20181127
2024-06-09 22:09:51 status half-configured raspberrypi-sys-mods:armhf 20181127
2024-06-09 22:10:08 status installed raspberrypi-sys-mods:armhf 20181127
2024-06-09 22:10:08 configure raspi-copies-and-fills:armhf 0.11 <none>
2024-06-09 22:10:08 status unpacked raspi-copies-and-fills:armhf 0.11
2024-06-09 22:10:09 status half-configured raspi-copies-and-fills:armhf 0.11
2024-06-09 22:10:09 status installed raspi-copies-and-fills:armhf 0.11
2024-06-09 22:10:09 configure fake-hwclock:all 0.11+rpt1 <none>
2024-06-09 22:10:09 status unpacked fake-hwclock:all 0.11+rpt1
2024-06-09 22:10:09 status unpacked fake-hwclock:all 0.11+rpt1
2024-06-09 22:10:09 status unpacked fake-hwclock:all 0.11+rpt1
2024-06-09 22:10:09 status unpacked fake-hwclock:all 0.11+rpt1
2024-06-09 22:10:09 status half-configured fake-hwclock:all 0.11+rpt1
2024-06-09 22:10:10 status installed fake-hwclock:all 0.11+rpt1
2024-06-09 22:10:10 configure dhcpcd5:armhf 1:6.11.5-1+rpt7 <none>
2024-06-09 22:10:10 status unpacked dhcpcd5:armhf 1:6.11.5-1+rpt7
2024-06-09 22:10:10 status unpacked dhcpcd5:armhf 1:6.11.5-1+rpt7
2024-06-09 22:10:10 status unpacked dhcpcd5:armhf 1:6.11.5-1+rpt7
2024-06-09 22:10:10 status half-configured dhcpcd5:armhf 1:6.11.5-1+rpt7
2024-06-09 22:10:12 status installed dhcpcd5:armhf 1:6.11.5-1+rpt7
2024-06-09 22:10:12 configure libasound2-data:all 1.1.3-5+rpt4 <none>
2024-06-09 22:10:12 status unpacked libasound2-data:all 1.1.3-5+rpt4
2024-06-09 22:10:12 status half-configured libasound2-data:all 1.1.3-5+rpt4
2024-06-09 22:10:12 status installed libasound2-data:all 1.1.3-5+rpt4
2024-06-09 22:10:12 configure pi-bluetooth:all 0.1.10 <none>
2024-06-09 22:10:12 status unpacked pi-bluetooth:all 0.1.10
2024-06-09 22:10:12 status half-configured pi-bluetooth:all 0.1.10
2024-06-09 22:10:14 status installed pi-bluetooth:all 0.1.10
2024-06-09 22:10:14 configure raspberrypi-bootloader:armhf 1.20190819~stretch-1 <none>
2024-06-09 22:10:14 status unpacked raspberrypi-bootloader:armhf 1.20190819~stretch-1
2024-06-09 22:10:14 status half-configured raspberrypi-bootloader:armhf 1.20190819~stretch-1
